start_node,cycle_len,node_chain,amounts,total_flow
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 187.44]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[121.24, 121.24]",242.48
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 187.44]",374.88
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
0_8003663A0,2,"['0_8003663A0', '0_8003663A0', '0_8003663A0']","[187.44, 121.24]",308.68
