target_id,num_sources,source_ids,total_amount,tx_count
0_800A39060,26,"['1121604_8346B2420', '11032_8212552E0', '10094_81955A280', '196572_84ED9CFE0', '116674_8214F4560', '1157761_84B6DF170', '288975_8214F6E30', '242855_8492090A0', '42935_81786FA00', '4744_80306F3D0', '61358_8307705A0', '280106_821505180', '23128_8028107C0', '164328_82C2218F0', '4011_801752130', '299774_836C95EB0', '63074_83C36E720', '9376_8062FABA0', '178900_8214F43B0', '162769_81AB05050', '118669_81FBFE080', '172131_8410B02F0', '2108704_83FA83B00', '20937_81FCD57E0', '6138_8214F93A0', '0_800A39060']",34811113.190000005,34
0_800815DE0,17,"['2107059_8485A3E30', '2130591_834574860', '3540_800329760', '276218_831CA1070', '0_800815DE0', '7998_81C498450', '25444_83EE14E60', '11848_8042F2CA0', '25961_813A73900', '17569_815C2AFA0', '123117_823A299B0', '169908_82A703260', '83783_84FB33480', '249719_84072EE20', '25333_83EE16A70', '131458_83D1F2C80', '2181592_8467183C0']",1242319.9200000002,30
0_800EC5EB0,10,"['13729_802772A60', '25961_81C0F8840', '90556_833E5BAF0', '14031_80275F180', '20_8005905C0', '186547_8496DF940', '0_800EC5EB0', '12696_80277AEA0', '221118_80CD84840', '10542_8054B3740']",13456.39,10
0_8003F11D0,8,"['20_8003F1090', '544_8003F1180', '1601_8003F0860', '2597_8003F0260', '1208_8003F1130', '1208_8003F0CA0', '11_8003F06D0', '0_8003F11D0']",20069.7,8
0_800496760,7,"['21617_800B0DC10', '214_800497D00', '3742_800498020', '20_800498110', '0_800497DA0', '0_800496760', '0_800498160']",45953.04,11
0_8006BEBF0,7,"['11_8005380A0', '2310_8003646A0', '3288_8006BF4E0', '3657_8006BF2B0', '211721_821EF6930', '3692_8006BF170', '0_8006BEBF0']",776715.59,45
0_80303FDC0,7,"['1315_80299DB70', '37925_80303FE10', '1153855_840A59EE0', '78520_82C41A210', '295998_840A59210', '2114824_840A52AA0', '0_80303FDC0']",2780403.5500000003,33
0_800393A10,6,"['1208_800393B00', '3555_800393530', '20_8003930F0', '17569_84355C4F0', '20_800393AB0', '0_800393A10']",21755.57,9
0_8004AC580,6,"['11_8004A8BF0', '4548_801CE0900', '2310_8002D1DA0', '2954_801CE3F50', '171456_84A685450', '0_8004AC580']",75131.21999999999,57
0_80061C190,6,"['2776_80061C320', '952_80061C7F0', '2954_80061C2D0', '2954_80061C1E0', '0_80061C7A0', '0_80061C190']",755464.17,7
0_80064D320,6,"['0_8003FA380', '3835_80064D280', '3701_80064A320', '176752_8264B9440', '19596_8169902F0', '0_80064D320']",27333.65,12
0_8009CD310,6,"['70_100428660', '12_800CDD7F0', '110478_80BFC4C50', '0_800244C10', '13347_81ECB9820', '0_8009CD310']",60089.27,78
0_800ADA420,6,"['3986_800AD9DB0', '1831_800ADA560', '2954_800AD9890', '11796_800ADA4C0', '0_800ADA420', '2776_800ADA470']",36187.689999999995,12
