source_id,num_targets,target_ids,total_amount,tx_count
0_8004BFA80,18,"['11032_8008DD500', '0_8001E7420', '140342_84A72CD90', '24457_805963B90', '237553_8194BCCE0', '1442_800882F60', '12_8000872D0', '544_8003FB8E0', '11032_8022E38C0', '544_80034C280', '1226_800218A50', '1_8001FA9C0', '14_800178710', '25_8002F6B60', '1208_80048A540', '2464_800304AE0', '1553_800438440', '0_8004BFA80']",13974095.912200008,75
0_800F9BB60,15,"['113957_806124A20', '158780_81A536A20', '16619_808325140', '1208_801745000', '11796_802935670', '244653_82750A620', '153341_8236260D0', '9043_8177492A0', '26989_8178DF240', '137747_838FA1550', '2156413_85113FBA0', '16811_80629FC90', '1313_801363220', '4744_804300770', '0_800F9BB60']",1566673.9500000002,189
0_80006FE20,13,"['20_80017D2E0', '210600_80BE78880', '1046_80140EA90', '120090_8083AD440', '20_80011C4B0', '2310_8001DC5B0', '54227_8207BE3D0', '13843_8105C8000', '0_8001052F0', '24842_801CDB530', '2310_8003E5D00', '2151748_8432900A0', '0_80006FE20']",5069153.18,200
0_800244C10,13,"['0_8009CD310', '33743_812606120', '20_80046BCA0', '145174_820F1C9C0', '182886_83D06B070', '28291_803CF0AA0', '253180_817A076A0', '1046_800F83ED0', '252970_815C2DD00', '20_800ADADF0', '20_8008C9AF0', '12582_800F9B320', '0_800244C10']",2242054.6599999988,215
0_80033F650,13,"['134999_82298C6E0', '2597_801560CA0', '11_8004A8BF0', '25604_8028A0190', '0_800396210', '214285_828CB49F0', '11796_80A1FBF90', '20_8035BF850', '1818_800E3B2A0', '5475_80BDC29D0', '11798_800B015B0', '216970_8094AD8E0', '0_80033F650']",1367270.5168000017,236
0_8004A7AF0,13,"['4292_801BE98B0', '13843_80171DEC0', '20_800521E10', '11081_8024FF680', '867_800621B80', '1313_80214BE60', '867_8005247C0', '1601_80059F810', '224393_821035620', '111077_812417BB0', '1110462_82B5B6B50', '2597_801EEDB70', '0_8004A7AF0']",570182.9499999995,265
0_8005182B0,13,"['1488_800AB31D0', '35456_83CCC9FB0', '20_826686A20', '20_80099B460', '7061_803F25040', '2597_801054780', '1831_80062FCA0', '15284_80C16DD50', '1601_8007D7C70', '2310_8021C6950', '262974_82B035A60', '11032_8017A3860', '0_8005182B0']",1448379.18,216
0_80055B6B0,13,"['718_8005A6F40', '13600_8015FA8F0', '13688_801587C40', '8903_803CA2770', '2954_801469710', '24842_8022B8D80', '236302_80F6A26F0', '119640_8393767E0', '18112_8497C9520', '110859_80CC57B20', '10057_80AAA1FF0', '24555_80E368E00', '24528_801B93000']",4275668.199999999,173
0_800B29860,12,"['2597_80155DD40', '194492_822F57DC0', '19326_81DBE4630', '297619_834485920', '24689_802F5EC70', '179667_826550F60', '8381_805C57720', '0_8025A0B40', '14246_813FDA800', '16315_8055F7130', '28348_803D1E520', '0_800B29860']",1523873.49,166
0_800B91E30,12,"['1818_800ED23D0', '1171400_840BA7560', '6697_8069374F0', '15327_803B96750', '111247_81233D570', '28348_803193AE0', '218363_80E561B20', '93219_829E0B400', '218608_842CEDA40', '217678_80731DCF0', '298178_8361BDF90', '0_800B91E30']",7121219.100000001,263
0_80165E490,12,"['13843_806D14D00', '718_8028BDB70', '28781_82EFED530', '4563_802792860', '16030_802426FF0', '0_803F9BE20', '23128_8048FF130', '97149_83F28BF60', '2149699_848027E30', '544_82F658360', '867_801728A00', '0_80165E490']",2040881.110000001,184
0_80033CE60,11,"['2310_80035D220', '135325_8274E4FB0', '0_800A49E90', '25932_8026F60F0', '1601_801595F20', '110528_80592DA80', '44393_827D3FC70', '2310_80038CAF0', '11304_8008C98A0', '113003_80D17C4D0', '0_80033CE60']",14886614.540000003,187
0_8003C7330,11,"['20_80AEDB3C0', '9888_80D406600', '210029_84984D820', '4214_801C64060', '26134_803499160', '1831_80397A130', '1922_8031E4550', '0_8004B7E50', '11798_801D5AA00', '9340_80FCD4690', '0_8003C7330']",27333609.869999994,215
0_803890E70,11,"['10975_8152899F0', '11304_814E9F410', '0_80916DF70', '1139288_83B0B0380', '8917_807E381D0', '249537_82EAF5C90', '20937_816962A10', '23602_804BE1350', '16315_806BA8470', '1601_818CC4D10', '0_803890E70']",2506880.3599999994,241
0_800073420,10,"['239258_83878EF20', '1922_801782450', '20_8002BDF80', '1488_800FE4780', '63074_8288C9730', '18824_805612360', '1226_800177940', '28313_836FC2D10', '123621_824C9D780', '0_800073420']",17851359.196400005,211
0_8004AC580,10,"['11032_801334890', '194492_834CD3930', '2597_800DB88C0', '215233_80ADFDE60', '238125_8211AEC40', '22184_800D0C6F0', '1601_800EB0990', '25994_802E478B0', '3902_8019992E0', '0_8004AC580']",803590.1584000012,170
0_8004B1120,10,"['20_800CC3860', '1208_8004DBA70', '285008_839BC5ED0', '867_800BB0E50', '952_800E2F740', '1831_8005EA7D0', '155327_81501D250', '11032_8007C68B0', '12582_81B7C8E20', '0_8004B1120']",3970845.3799999906,230
0_8006BEBF0,10,"['1130505_8305C44D0', '11796_800CFF810', '214686_8056362C0', '13600_801572470', '1601_800DACC40', '2597_8035ED6C0', '0_80239E840', '225000_80AD761D0', '70421_81DFECA00', '0_8006BEBF0']",1094718.0100000002,163
0_800A39060,10,"['240141_817C446B0', '212191_83F9291D0', '161863_8252DA230', '2310_800A39B80', '544_800A48E50', '11304_801491190', '28313_806857C00', '2126978_82F1E15D0', '11304_800A39B30', '0_800A39060']",34974704.3732,115
